,Bmean
1.3319.23,-4.938551341350601
1.3319.11,-7.4323003597122295
1.3319.42,-4.117236920039487
1.3319.33,-4.05635200845666
1.3319.34,-4.844879213483146
1.3319.22,-5.708075317604355
1.3319.50,-3.7735820610687023
1.3319.44,-3.3376544502617804
1.3319.16,-5.516657509157509
1.3319.13,-6.3146854334226985
1.3319.54,-2.991974358974359
1.3319.51,-3.019917040358744
1.3319.36,-4.97370349907919
1.3319.41,-4.080156650246305
1.3319.32,-5.0355281501340485
1.3319.47,-3.5680989533777354
1.3319.49,-3.9640503388189745
1.3319.20,-5.049271978021978
1.3319.38,-4.276681399631675
1.3319.28,-4.821524953789279
1.3319.12,-7.448516245487364
1.3319.35,-4.98464652014652
1.3319.37,-4.722948787061995
1.3319.45,-3.8485506149479662
1.3319.60,-3.362128486055777
1.3319.57,-2.750557411273486
1.3319.31,-5.528172862453532
1.3319.21,-4.846068654019874
1.3319.46,-3.5419252873563223
1.3319.10,-8.36813873873874
1.3319.29,-4.588348790322581
1.3319.18,-5.210278079710145
1.3319.26,-4.958159252669039
1.3319.40,-4.157818947368421
1.3319.30,-3.769964519140989
1.3319.27,-5.047084545454545
1.3319.14,-5.9142651933701655
1.3319.48,-3.8732313432835817
1.3319.19,-5.076633363068689
1.3319.17,-4.341347164591978
1.3319.39,-3.7354184060721067
1.3319.15,-5.895049773755656
