,Amplitude,AndersonDarling,Autocor_length,Automean,Beyond1Std,CAR_sigma,CAR_tau,CAR_tmean,Color,Con,Eta_color,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Q31_color,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonJ,StetsonK,StetsonK_AC,StetsonL
1.4291.787,0.2224999999999997,1.0,1.0,-5.753461871750434,0.19930675909878684,-0.46135909087048543,0.06922771937991987,-83.10922161360813,-0.3321439625816245,0.0,1304.7345414520248,629.8269307530238,0.07272727272727278,0.13939393939394015,0.22121212121211967,0.36666666666666525,0.6848484848484846,0.038832062223854366,0.02988306763836602,0.02332250463955623,0.027921570393541137,0.0,-0.3244772653122139,-0.9801329517443229,-1.5134137722193635,0.029734635021225145,0.004122764044786177,0.004075461603516824,0.007831457947366402,0.0,0.8503131318349239,1.205893877185227,-0.31948451552153,0.020842558930161847,0.006971146625615217,0.006036297598949154,0.006371035271836534,0.0,1.6707837757022586,0.8920084762747171,1.0435069975386873,1.0263304448582285e-06,23.34549245396295,-5.753461871750434,-0.0188295551260574,0.03500000000000014,0.8145580589254766,0.03333333333333333,-0.112113849357862,-0.05727178063172511,2.1436933037659065,2.4696736894835846e-11,0.08371850804807589,1.614807371759571,0.07299999999999951,0.08899999999999952,0.02647483912950449,-0.4677926139180008,0.10427099999651546,6.710970299549192,0.10833512747979418,0.22390400936779636,0.6301912208690927,0.642335066620094,0.12217822530892215
2.4668.52,0.4655,1.0,1.0,-7.453330443159922,0.09344894026974952,-0.5828573714611653,0.2436993971839014,-30.584115222638243,-0.3597172451903843,0.0,1104.4142516802,50.314462792742965,0.06165413533834508,0.11578947368421046,0.18345864661654118,0.26466165413533854,0.39699248120300784,0.18116639848833543,0.0901750059150295,0.07539874536502063,0.05363035780969531,0.0,1.2652563321668742,-0.6340636243396978,0.6694675329547098,0.11505460833407866,0.0036824807724467378,0.07413601057983694,0.005574492833746464,0.0,0.23383187319046128,-1.8395394824630316,-2.040177486890797,0.06558815545178276,0.03419739318824538,0.006273974518662289,0.00488832867535423,0.0,0.9636877789057432,-1.137570622013478,0.9249633105339063,-1.5222272427694106e-06,12.59689922330553,-7.453330443159922,-0.02742064541665763,0.05549999999999988,0.8034682080924855,-0.03333333333333333,-0.12460063897763578,-0.08852502662406816,2.321805616235088,2.7060615323476144e-85,0.274221718638602,0.13514211466012896,0.12199999999999989,0.042999999999999705,0.028427990778602783,2.7706359745277966,0.2234729999981937,7.665578655423399,0.2043751312550679,0.5954031764962229,0.607706300576487,0.7391464337644796,0.2320398151449425
2.5387.2235,0.1605000000000003,1.0,1.0,-7.157751147842065,0.10743801652892562,-0.1508968479517685,0.38702742821559516,-18.494170247424456,-0.3387643553892463,0.0,5773.606924238483,647.194751986379,0.08888888888888713,0.15555555555555645,0.23111111111111365,0.3244444444444467,0.48888888888888715,0.049622540966387185,0.049288178925115875,0.020042946906366443,0.024425058949755066,0.0,0.753877029848344,1.426658653986955,2.1016338124769094,0.022217234508846974,0.009206183550389078,0.0010363246111377276,0.0012539808488884494,0.0,-1.0387225534097608,0.605029836540789,-1.18866857928733,0.01882735331006688,0.011758584101899455,0.003040328531264277,0.0005607921244637445,0.0,0.8180740743173336,1.6748290027393293,-0.23301622833980618,1.2020523094642196e-06,22.448320410762484,-7.157751147842065,-0.009591582257751278,0.025000000000000355,0.8135904499540864,-0.03333333333333333,-0.04850850292723735,-0.03136325620295506,6.4120333621366825,5.932417489827276e-57,0.15155538142629482,0.5980278937237404,0.05200000000000049,0.040000000000000924,0.03742841508591807,2.4326881865079533,0.6119099999850732,6.956884202595351,0.0686541589150408,0.4931775293018151,0.6370462253910255,0.7023879482515196,0.19535146741579212
2.5510.361,0.20150000000000023,1.0,1.0,-5.154272134203174,0.23392357875116496,-0.137041716089675,0.3568985834381574,-14.441839708496055,0.4682768854046664,0.0,737.1844682788139,824.443450620014,0.11803278688524722,0.22295081967212946,0.32459016393442625,0.49180327868852186,0.7114754098360629,0.05732873530412071,0.03121273345175049,0.019264699999172314,0.009671352792598453,0.0,-0.3589540398551133,-0.34584098808370967,-1.4277504154622616,0.026442086125124168,0.0119793000126493,0.005635087720669783,0.00546979583076449,0.0,-0.4177463485384282,1.4962728021444953,0.4991189046622919,0.020469157278672663,0.001459673155977308,0.011968590914575895,0.003381136776727045,0.0,2.810704615933827,0.7082027323412416,1.0330833718039667,1.2338976063590571e-05,30.200258394335325,-5.154272134203174,-0.01914791333453952,0.04999999999999982,0.8350419384902144,-0.03333333333333333,-0.12233836624080537,-0.05903987611304696,3.142451769008661,1.2990380937882485e-35,0.152282617734937,1.4127540798014437,0.0990000000000002,0.0860000000000003,0.061888076712770405,0.35240410351744494,0.43661999999312684,4.311596109454077,0.09869355612835443,0.3398892899147878,0.7182986844554773,0.7511366699010608,0.19186057632357367
2.5390.793,0.3099999999999996,0.9999999991891293,1.0,-4.67466358595194,0.27818853974122,-0.10371375586796538,2.184882033904398,-2.139549647720928,0.3916664826083043,0.0,1920.1933146340295,697.8098500524217,0.17097415506958336,0.2703777335984102,0.41550695825049694,0.5705765407554679,0.7614314115308163,0.14698734277754952,0.025793039000408365,0.015625974872236287,0.004580605882088535,0.0,-2.663312300276589,-0.22151477066025205,-0.29934128238897073,0.03902181907331918,0.008979600743369405,0.013358286607854779,0.015227336613882547,0.0,1.4432076214956213,1.3915043768884856,0.48570678435163306,0.025136423749033528,0.008335850745574722,0.002984128190786776,0.004974565595101857,0.0,-0.1648626583753932,-0.3696492975636378,0.010978679046428533,1.1231178735405177e-05,50.14551154201189,-4.67466358595194,-0.034800797238811604,0.10400000000000009,0.621996303142329,0.03333333333333333,-0.14983991462113128,-0.10736392742796143,12.684566386946381,6.99521628344534e-92,0.18212963882496971,1.1627710891344956,0.2087500000000002,0.14300000000000068,0.047595119867884464,-0.062416396488979925,0.4816900000005262,1.2479965903711316,0.16268201961436943,0.47722002449044515,0.7752451899444183,0.7758550971710966,0.36538413751433346
1.3807.48,0.1339999999999999,1.0,1.0,-7.995538601271577,0.21162579473206175,0.494440251661757,0.047630518558592363,-167.86587346169492,0.09370426901361473,0.0,1322.680036128186,509.17382718435465,0.11522633744856145,0.23045267489711557,0.36625514403292303,0.5843621399176961,0.8312757201646114,0.0825769738677327,0.03753449303527347,0.020391851683376188,0.007344416579052061,0.0,-0.8739930382129752,-1.71443147551993,0.6396509926179509,0.013976808723428482,0.0017104021911204495,0.0010133310464402856,0.0027127260529824907,0.0,0.6442293177343318,1.4333515657259737,0.8351702368670963,0.01989563248451926,0.007381934079754297,0.00838669807540146,0.0035073032099028345,0.0,0.5714939257807605,0.956015244408829,0.11988012639417134,3.6371859993967483e-06,14.127444413888403,-7.995538601271577,-0.009698260165740429,0.034000000000000696,0.7247956403269755,0.03333333333333333,-0.048479561316051765,-0.03028414755732806,0.6526741507730405,4.0623082810256724e-134,0.1895008434325588,0.4736758831689154,0.08900000000000041,0.04900000000000038,0.03256539566011408,1.1655840269003324,0.11421300000074552,0.7850075065449076,0.07754281352035208,0.7089938815861274,0.7936597566389406,0.8346489699752393,0.47211120063401196
1.4539.37,0.13725000000000076,1.0,1.0,-9.76627250206443,0.17423616845582163,-0.2710499549323341,0.16012059047049376,-60.99323312115884,-0.49869128875719326,0.0016542597187758478,1206.3911831180471,93.20471560146234,0.05882352941176716,0.10980392156862971,0.2000000000000014,0.45098039215686536,0.8039215686274543,0.07665946458007404,0.05557859235691804,0.03754126133161252,0.02869892783522139,0.0,0.19659967176212256,0.6724630943632206,0.7707538493315955,0.015997481456948254,0.0008307084037036152,0.0008218955237085468,0.0012280175127001576,0.0,-1.425950602594609,-1.2579291279482216,-1.4384997154684627,0.010654479989013449,0.00035490926309552875,0.0015579149042482504,0.0014367455708916323,0.0,0.4141130279705275,1.9499797101256433,1.7303208574014128,-1.4880851628670126e-05,3.166704367090014,-9.76627250206443,-0.007912129895019706,0.019000000000000128,0.7696118909991743,0.23333333333333334,-0.029192609982647888,-0.026028376033479534,1.4977160495049482,7.422140473925002e-128,0.22438106904559893,0.23352041973472779,0.051000000000000156,0.01999999999999824,0.0838202809570383,1.5218633283440544,0.2085419999930309,1.5169447888772054,0.07727201662649288,0.6536495622227492,0.7480890721554233,0.8294636993209753,0.31305772101047685
2.5268.16,0.16800000000000015,1.0,1.0,-7.905180688336518,0.1367112810707457,-0.23771228897344893,0.23873977834012902,-33.11212209083199,-0.34817783662549573,0.0,188.62876591680362,84.7741446206792,0.09187279151943381,0.17314487632508632,0.24381625441696064,0.3639575971731467,0.6607773851590107,0.07941859294365565,0.0354447046020767,0.021046041793841588,0.00696216797242708,0.0,0.6506303714917845,1.154866643202945,1.8537616746000598,0.056636618850263436,0.00150039495083135,0.022070486421370997,0.0026087128466677806,0.0,0.816457702428478,0.5967352375952519,-1.1140179185679768,0.01754659279543204,0.0041959492369881045,0.0018752367576625071,0.0020871614501380763,0.0,-0.1204980626794867,-1.555428001598249,-1.9158823197801056,1.4670112333716203e-06,7.731376973657678,-7.905180688336518,-0.010495903112048198,0.031000000000000583,0.7648183556405354,0.16666666666666666,-0.05584972264246098,-0.03567826525466469,2.3367630755490474,3.711034670846096e-99,0.30540407877866577,0.20364586492098385,0.06899999999999995,0.029000000000000803,0.03600747781863391,1.894916624180491,0.4816900000005262,3.4474117865189786,0.08297201058801458,0.6432225032930944,0.7078100145467804,0.7365228190212493,0.325924382374429
1.3449.948,0.44099999999999984,1.0,1.0,-4.9296726618705105,0.15467625899280577,-0.25650781500360276,0.6786212796477038,-7.26424709880845,0.1776512128848724,0.0,842.128936857617,562.3724862766951,0.0921875000000003,0.16250000000000023,0.253125,0.35937499999999944,0.565624999999999,0.14705526851524028,0.07484857686581417,0.07418942594799112,0.055360536442492815,0.0,-0.059358535349255837,-0.06502205922259141,-0.25151368878154723,0.05720231672558018,0.02503135491152763,0.0017970293834143672,0.011544851603857723,0.0,1.064890853384695,0.22530987139832603,0.41999162388372435,0.054787636960615164,0.004202233369341787,0.02071227806746931,0.017297263914432804,0.0,-0.36397103921726237,1.8192683320052891,0.63552420990518,6.4105568439068135e-06,33.68613883573883,-4.9296726618705105,-0.03998092454157615,0.07700000000000085,0.8309352517985612,-0.03333333333333333,-0.2095084609186141,-0.12892828364222395,7.004124034180541,4.1407210815859014e-63,0.17253468754741996,0.7549269594855117,0.1612499999999999,0.1349999999999998,0.03175392380691446,1.4822340729318746,0.3771510000078706,5.495811974754957,0.19709287070891574,0.43474564764445434,0.6571418120641198,0.7239555699226724,0.19958568994890394
1.4173.538,0.21274999999999977,1.0,1.0,-6.016947833775425,0.16180371352785147,-0.26866538499671866,0.10381140732720302,-57.96037245512544,-0.40041019936681455,0.0,956.7233319462242,1219.0879964083283,0.08745247148289195,0.1673003802281354,0.2623574144486691,0.37642585551330887,0.6273764258555137,0.03766976046944571,0.03429348314474899,0.023402098292948897,0.023487973456676938,0.0,-1.3179013639848092,0.4197116289694305,-0.875311766615004,0.02905908952860044,0.020307428233101672,0.004017065583308565,0.0032992775346901704,0.0,0.7292452667534239,1.9496183396931677,0.7371510496033655,0.025485841128299592,0.006083383296807139,0.001703109240796179,0.003647495857919774,0.0,0.8999480277994469,-0.36292569274941594,0.29751596677911546,8.91755096659458e-06,23.553934350873313,-6.016947833775425,-0.015257086820247723,0.03300000000000036,0.843501326259947,0.03333333333333333,-0.08723051409618585,-0.043615257048092854,3.247929755069577,2.6867899264847826e-16,0.0846368391176883,1.4530035363846676,0.06899999999999995,0.0829999999999993,0.03586942066414902,1.4891468345656673,0.1176500000001397,6.683865808998448,0.09180109549281312,0.2635385880092557,0.6331440091070303,0.632888682954631,0.10592040445850774
