,Amplitude,AndersonDarling,Autocor_length,Automean,Beyond1Std,CAR_sigma,CAR_tau,CAR_tmean,Color,Con,Eta_color,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Q31_color,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonJ,StetsonK,StetsonK_AC,StetsonL
1.4658.1362,0.758,1.0,1.0,-4.86545074106365,0.40540540540540543,2.6179902044563543,0.04720738457770493,-103.06545860542126,0.039705134236109885,0.0,8575.017894297636,677.7999145555539,0.21032934131736514,0.35254491017964096,0.4895209580838325,0.6459580838323353,0.8473053892215576,0.44596942646419924,0.1690546499630371,0.10708065399282624,0.04256634035215802,0.0,1.773127364507124,0.6381692584548446,-0.30426315643300017,0.07069202737857136,0.02002021547828634,0.006049193544701995,0.01083580135272955,0.0,0.3726624305708558,0.8649081152568685,2.1477275809296446,0.06549212735892475,0.012925207451399426,0.013843246395745464,0.012495486024353034,0.0,1.6084084736464477,2.260156583791173,1.486916321313704,-1.0848034896064086e-05,63.971032005114466,-4.86545074106365,-0.08926621773024737,0.3019999999999996,0.47515257192676547,-0.23333333333333334,-0.29918290383406654,-0.2799078147915356,0.5170764075961386,6.181462871066111e-131,0.18272738546528455,0.6745658740098335,0.6539999999999999,0.3005,0.046649001694702125,-0.3410054431706498,0.10966400000324938,-0.47922200488272315,0.43432038520758115,0.7035270555766926,0.84074481744133,0.8317024658246683,0.5678645502953567
2.5395.757,0.37650000000000006,1.0,1.0,-4.702650553877148,0.3675730110775428,0.7824947461423732,0.11802555360488373,-39.844342265237714,0.08626199756317998,0.0,6971.683693371023,668.6372342206345,0.20808383233532965,0.35029940119760467,0.4925149700598797,0.6362275449101792,0.82185628742515,0.22808002481226025,0.09545394568215641,0.056415885599791715,0.02840302377372538,0.0,-0.956619055962346,1.6238719576956997,0.6960896224723705,0.032815579604808034,0.010003416035594325,0.003748412068585964,0.0039690619986186,0.0,0.7834435444200206,0.5944630467248484,0.1399184824004447,0.03039843260544345,0.0011848738515575015,0.006796925328974965,0.009487087952415823,0.0,0.03846719223310929,-1.4302881284640483,-0.5792380066492901,-1.3611052739768808e-05,46.78755317982347,-4.702650553877148,-0.04490395754899665,0.1559999999999997,0.4783484390735146,-0.16666666666666666,-0.1913712088850919,-0.1426740709098676,0.6165509834579648,9.639237263340394e-120,0.20046489277730165,0.6225690818708921,0.32899999999999974,0.16599999999999948,0.032983476716377864,-0.049957408238781593,0.3643640000009327,-0.3879034932517791,0.21116762083906504,0.6437331922948148,0.8374688606323578,0.8732437400515507,0.5448083000284757
2.4668.667,0.8029999999999999,1.0,1.0,-4.26719750719079,0.3998082454458293,3.04512038954395,0.034832276006085794,-122.50699628256385,-0.026843585622161825,0.0,193.68123144742893,186.40344337045735,0.20072463768115953,0.34782608695652145,0.48985507246376797,0.6398550724637685,0.8057971014492755,0.4359177137533804,0.18468514691304289,0.08908471878731877,0.034698527843560006,0.0,0.7608394827261035,1.1314055427158412,2.8668601301028995,0.08966477935729014,0.01167125054135994,0.026635289528860497,0.014157623353245729,0.0,-1.2597065616098377,-1.4267933582405545,-1.1001620803676968,0.08413976372093364,0.030626729206653984,0.018633872310427013,0.016637855645928627,0.0,-0.35748907802473395,0.923139805741906,-0.983665127916037,2.678560776606986e-07,43.44315244960532,-4.26719750719079,-0.10271786244734216,0.3120000000000003,0.44870565675934804,0.03333333333333333,-0.36602242901455495,-0.329277022190408,0.41195706179989305,1.795595917907667e-108,0.18139047686600052,0.8755309758317705,0.6749999999999998,0.3089999999999997,0.023331438381939962,-0.26155985502501383,0.2039699999950244,-0.5012323131164451,0.43831740657926493,0.6726442304068799,0.8382870126232137,0.8246488266139431,0.546493722133876
2.5152.763,0.31975,0.9999999999999993,1.0,-4.810092803030302,0.3096590909090909,-1.2404430811371598,0.026067959407164457,-184.52126336011966,-0.0025014811332217946,0.0,1346.9680487592695,241.54981880281778,0.2246093750000006,0.373046875,0.5214843749999993,0.6542968750000022,0.8144531250000003,0.17949864537385757,0.01878770357341294,0.015215841606161747,0.005291333027209858,0.0,0.8920629679015148,1.4555632897222357,1.335451095830555,0.038116024951919465,0.011419747618341624,0.0018332634549400692,0.007901598880989454,0.0,-0.4874190099739035,-0.4545848029349502,1.3062782248474984,0.03483890637329126,0.008212226452480135,0.007774830958075701,0.007733235301861984,0.0,0.8265292031619196,-1.1333966448505424,0.014509708652766795,-6.071455314800313e-06,20.714070506504328,-4.810092803030302,-0.03636455003440365,0.13250000000000028,0.5492424242424242,-0.03333333333333333,-0.1511941848390448,-0.1063343717549324,0.3246979432220863,8.840600555129699e-114,0.17527872286664273,0.9997289853105381,0.26624999999999943,0.14399999999999924,0.0365805962351279,0.0008998414468160733,0.21830999999656342,0.6211290684228756,0.1749168604059203,0.5757612668062789,0.8173293210038974,0.8338292913500475,0.4346647239947259
1.4419.807,0.4792499999999995,1.0,1.0,-4.808162976085029,0.27812223206377323,-1.42850758512878,0.036794178485138364,-130.6772748854036,0.2130061781438224,0.0,7963.584000926585,511.6283968288783,0.15249999999999972,0.27,0.40499999999999947,0.563749999999999,0.7712499999999993,0.21732207400081502,0.11490972902798578,0.06266207602664811,0.018433411049410306,0.0,-1.1617483231741326,1.5657428304474943,0.6854596088975895,0.03892887202043893,0.012488561597918434,0.017928113345271907,0.0138621064055894,0.0,0.9198830723930317,0.3842667412870694,2.3353852736608216,0.038329138175552516,0.010382975812332194,0.002291916756701726,0.011141185323998402,0.0,1.6483437826042953,-0.21453598979943855,1.7015752460944102,1.2413267098242808e-05,41.129943510507566,-4.808162976085029,-0.054252984681174996,0.1609999999999996,0.7723649247121346,0.03333333333333333,-0.3652319264521522,-0.16715419974926887,0.6229828935892512,4.406665474885913e-76,0.1537139995105645,1.1045223199910252,0.32399999999999984,0.26799999999999957,0.03904988995916017,-0.3893113159893169,0.12571700000262354,2.9642043381258647,0.26085719228613385,0.3154401526328785,0.7615342859169175,0.786965718987193,0.1642509879962066
1.4653.1029,0.5215000000000001,1.0,1.0,-4.955364106988783,0.35893011216566006,1.5706467684731558,0.062114047028006165,-79.77847756006774,0.07607815135169105,0.0,1378.0080113521858,587.0169015377348,0.19260065288356856,0.34276387377584355,0.49619151251360094,0.6594124047878124,0.8422198041349288,0.3037299282614128,0.15859218868178934,0.10509220942059166,0.034414717821571024,0.0,-0.7189858972225552,-0.8568630004051618,-0.7306114082428079,0.03852074720632607,0.011128953144272055,0.006267497108354961,0.00808143122790937,0.0,2.052946673515521,1.4358680562930115,0.6022839349795837,0.03619953391450756,0.004456577417934435,0.007508034431342229,0.0013341755960423192,0.0,-0.95541204589547,-2.187308507267472,-0.3956599381011221,-1.3214577454493855e-05,43.42330283005714,-4.955364106988783,-0.061237645946846685,0.21799999999999997,0.5893011216566005,0.23333333333333334,-0.27577791336180596,-0.18690258287573736,0.6969994721617809,4.342357057910327e-118,0.18845607372597292,0.686968279003891,0.4559999999999995,0.19299999999999962,0.03045153171474218,-0.25578904298298494,0.10755700000299839,0.32561034107890263,0.30345483272149115,0.6824644266304802,0.8203244178313777,0.8316397472494116,0.5168231306993522
1.3564.1177,0.36050000000000004,0.9999999999998848,1.0,-5.133606712564544,0.27710843373493976,-1.5179719125410902,0.019305543904236933,-265.9136017109513,0.07675021514629865,0.0,7359.388662037895,1136.7486747758433,0.18197879858657362,0.32685512367491265,0.45053003533568897,0.5989399293286228,0.7915194346289762,0.1579885523979751,0.05859463010033785,0.02236814136726176,0.011333108193632218,0.0,0.41101261648584275,-1.9041114981203306,-1.4184535771321045,0.03328241935904419,0.011925708656522177,0.009918736574608187,0.0020067968138100458,0.0,-0.7011906108266229,-0.9222920229276913,-1.1672240815624308,0.031103700567612403,0.01086170295456673,0.02231647962972169,0.006139631287842779,0.0,-0.25694381053287496,-0.31240924754617616,0.8254320904001982,3.32219507256357e-06,39.027957850839265,-5.133606712564544,-0.037738198436259536,0.12600000000000033,0.8278829604130808,0.1,-0.23861637678327147,-0.11061168653507912,0.6203564331877719,1.705619087133353e-80,0.15272412302625768,1.1668774310318821,0.2549999999999999,0.15500000000000025,0.03484595566644734,-0.42204858779011606,0.11556700000073761,3.7993191143981657,0.19373306881247473,0.5026126908373951,0.7735373344451512,0.8163333556913146,0.25148221988292513
2.5752.1469,0.7515000000000001,1.0,1.0,-4.339742277992283,0.3754826254826255,2.442179819679203,0.04391857280807074,-98.81337212293897,0.20742055725675979,0.0,1465.2432145153198,302.2667697584755,0.17454268292682937,0.3071646341463412,0.45121951219512174,0.6089939024390241,0.8086890243902436,0.4056990016022628,0.17726054898335802,0.07800295279418555,0.0636582163171166,0.0,1.8851700181141953,1.0352468564550539,0.7723921412821639,0.07626041786101301,0.010538214525872721,0.008962339509039293,0.017741963813564656,0.0,1.8376905434320177,-0.4870672067988066,0.8036177619294458,0.0778314335618868,0.02676757251698106,0.028235049861793166,0.004959483009943603,0.0,0.7084626434272379,2.120026202533229,2.5781794139096386,-3.298003408671709e-05,73.41283057553466,-4.339742277992283,-0.09410620184456552,0.26449999999999996,0.5048262548262549,0.1,-0.3632624280173932,-0.3083793630273827,0.5631653422105697,1.7982488671442193e-106,0.18173433783697038,0.7259031749427213,0.5919999999999996,0.29400000000000004,0.05108832893678983,-0.2997762379090501,0.21830999999656342,-0.4073530509885348,0.4083966627661363,0.6311638896647465,0.8278524497492007,0.8519714385091252,0.5051068222966973
2.5388.1223,0.4830000000000001,0.9999994949868091,1.0,-4.429820594479833,0.321656050955414,1.1099020684876875,0.0698602127568666,-63.40977817941763,0.10711223428080441,0.0,1624.273215584625,490.6381046918205,0.18879415347137674,0.33861144945188865,0.45188794153471445,0.6199756394640689,0.8112058465286233,0.2485044690110474,0.10135190515384924,0.05069264251951332,0.03146679645265997,0.0,-2.52573803811857,-1.5890020989720886,-1.1635065820344956,0.04373311923433487,0.013104014129640748,0.02151693302155472,0.009187078049831553,0.0,-2.2996326221437,0.49491039233751577,-0.27597528002347704,0.04200106154977628,0.004205031652321408,0.011718982417696493,0.01448519186027739,0.0,-1.4751720058782443,-1.1427422397387326,0.5093865660161998,-5.300640996506844e-06,34.14221218294097,-4.429820594479833,-0.060539057966446236,0.18550000000000022,0.5435244161358811,-0.16666666666666666,-0.2439714706215329,-0.18589380731348346,0.6055056170023364,5.570744376393574e-81,0.1718533258828347,0.9751246621022299,0.37075000000000014,0.22100000000000009,0.037015879207756175,0.01667498253870446,0.34001200000056997,0.47727256953784014,0.2681771657501719,0.5043136442761861,0.806276804668208,0.8280365536933375,0.37159151037234434
2.4908.771,0.4217500000000003,1.0,1.0,-4.662923298178325,0.33557046979865773,1.017612271550663,0.0790425961941718,-58.992537222887236,0.22325270968794442,0.0,478.3598272067013,611.3281823341027,0.18646408839778972,0.3508287292817685,0.49861878453038627,0.6685082872928175,0.8439226519337023,0.2370724861092118,0.1098010594870543,0.062387969353815055,0.03465779715690657,0.0,1.0337820754486924,1.987255980458031,0.029546279312898438,0.035390379308447885,0.009346339698457044,0.017620233862700695,0.005866782722986765,0.0,-0.19727683322246545,-1.5434410570157742,0.7067856613409012,0.03229953509720584,0.009854744462353961,0.008108143966276847,0.009781284407766822,0.0,-0.8222525026227181,0.45138999511967715,-1.2235259770872604,-9.856501197107932e-06,48.28811368933829,-4.662923298178325,-0.05141654744918323,0.17599999999999927,0.5330776605944392,0.03333333333333333,-0.2197541513909855,-0.15613543239163258,0.6683999938453967,1.050983318422538e-110,0.1909538796750596,0.7094649878566535,0.36099999999999977,0.18500000000000005,0.04693854630056908,-0.01022213167535795,0.2408450000002631,-0.027895232554163485,0.23975141701268782,0.6242107540604421,0.8252189885009352,0.8226209639340463,0.5239742532644348
