Time,Magnitude,Error
47013.453,8.62,0.198
47013.488,8.65,0.27
47013.508,8.64,0.314
47013.535,8.65,0.367
47013.559,8.64,0.42
47013.586,8.69,0.473
47013.602,8.65,0.513
47013.625,8.67,0.559
47013.652,8.73,0.621
47013.676,8.72,0.663
47013.695,8.73,0.705
47013.727,8.85,0.771
47014.391,8.63,0.182
47014.414,8.64,0.233
47014.438,8.67,0.282
47014.465,8.64,0.333
47014.48,8.63,0.366
47014.504,8.65,0.415
47014.547,8.68,0.51
47014.578,8.72,0.576
47014.602,8.73,0.627
47014.621,8.76,0.671
47014.641,8.77,0.707
47014.656,8.84,0.743
47014.68,8.85,0.787
47014.699,8.92,0.83
47014.715,8.84,0.864
47014.723,8.79,0.878
47014.734,8.82,0.906
47015.652,8.87,0.846
47015.656,8.87,0.861
47015.672,8.85,0.886
47015.68,8.82,0.905
47015.699,8.76,0.948
47015.707,8.7,0.965
47015.723,8.68,0.994
47015.727,8.66,0.009
47015.738,8.68,0.035
47016.613,8.88,0.884
47016.625,8.82,0.907
47016.629,8.81,0.916
47016.633,8.79,0.922
47016.641,8.79,0.943
47016.645,8.76,0.952
47016.648,8.73,0.96
47016.66,8.77,0.979
47016.66,8.71,0.985
47016.668,8.73,0.996
47016.676,8.69,0.015
47016.68,8.68,0.023
47016.684,8.66,0.032
47016.695,8.62,0.057
47016.699,8.62,0.068
47016.703,8.64,0.076
47016.719,8.65,0.102
47016.727,8.64,0.119
47016.138,8.61,0.144
47294.637,8.62,0.145
47294.66,8.6,0.196
47294.68,8.59,0.234
47294.699,8.64,0.276
47294.719,8.64,0.321
47296.602,8.63,0.305
47296.613,8.63,0.33
47296.629,8.65,0.358
47296.641,8.65,0.383
47296.664,8.65,0.438
47296.684,8.67,0.472
47296.695,8.67,0.504
47296.715,8.66,0.537
47296.727,8.68,0.569
47297.598,8.64,0.408
47297.609,8.66,0.433
47297.625,8.67,0.465
47297.637,8.66,0.495
47297.656,8.68,0.537
47297.676,8.71,0.571
47297.691,8.71,0.605
47297.723,8.74,0.677
47298.598,8.69,0.524
47298.609,8.69,0.547
47298.617,8.7,0.57
47298.629,8.71,0.594
47298.645,8.73,0.627
47298.664,8.74,0.663
47298.68,8.78,0.697
47298.691,8.77,0.727
47298.703,8.81,0.75
47298.719,8.82,0.778
47298.727,8.85,0.801
47299.648,8.81,0.748
41729.672,8.85,0.794
47299.695,8.89,0.851
47299.711,8.87,0.883
47299.727,8.79,0.917
47300.605,8.83,0.772
47300.621,8.86,0.806
47300.637,8.88,0.836
47300.648,8.89,0.868
47300.66,8.86,0.891
47300.672,8.78,0.914
47300.684,8.75,0.937
47300.695,8.74,0.967
47300.711,8.69,0.999
47300.723,8.67,0.018
47303.563,8.69,0.031
47303.57,8.67,0.05
47303.582,8.66,0.073
47303.594,8.68,0.097
47303.605,8.66,0.12
47303.613,8.65,0.139
47303.625,8.66,0.162
47303.637,8.64,0.188
47303.656,8.63,0.232
47303.668,8.63,0.255
47303.68,8.61,0.281
47303.691,8.65,0.304
47303.703,8.62,0.327
47303.715,8.66,0.353
47303.727,8.64,0.38
