Time,Magnitude
1498.5,6.69
1860.5,6.7
2211.5,6.69
3322.5,6.66
3656.3,7.55
3662.3,7.47
3663.3,7.45
3665.3,7.43
3666.3,7.43
3667.3,7.39
3668.2,7.5
3672.2,7.53
3694.3,7.51
3696.2,7.51
3698.3,7.48
3699.2,7.46
3700.3,7.44
3704.2,7.4
3707.2,7.43
3918.6,7.12
3919.6,7.16
3921.5,7.14
3922.6,7.12
3923.5,7.12
3924.5,7.11
3999.3,7.28
4003.3,7.16
4246.6,7.5
4282.6,7.44
4289.6,7.32
4309.6,7.32
4317.5,7.31
4318.4,7.23
4320.5,7.21
4321.4,7.21
4322.3,7.17
4323.4,7.16
4327.5,7.07
4328.5,7.1
4330.5,7.08
4331.5,7.11
4333.5,7.09
4336.4,7.16
4355.4,7.09
4358.4,7.07
4363.3,6.93
4436.2,6.98
4453.2,7.03
4639.6,6.27
4649.5,6.36
4669.5,6.22
4671.5,6.19
4682.5,6.22
4706.4,6.14
4712.4,6.19
4719.3,6.22
4748.3,6.17
4769.3,6.26
4772.2,6.18
4782.2,6.11
5006.6,6.54
5010.6,6.61
5011.5,6.59
5012.5,6.57
5013.5,6.58
5014.5,6.6
5015.6,6.62
5016.6,6.6
5017.5,0
5020.5,6.54
5022.5,6.54
5033.5,6.49
5034.5,6.5
5035.5,6.53
5036.5,6.53
5037.5,6.55
5042.5,6.66
5043.5,6.68
5060.5,6.59
5094.4,6.65
5095.4,6.65
5096.4,6.67
5100.4,6.63
5116.3,6.78
5117.3,6.79
5119.2,6.8
5120.2,6.81
5121.2,6.82
5162.3,6.77
5163.3,6.75
5396.5,7.08
5544.3,7.25
5559.2,7.1
5710.5,7.26
5774.5,7.29
5779.5,7.31
5802.4,7.32
5849.3,7.31
5877.3,7.34
6086.6,7.51
6113.5,7.53
6133.5,0
6194.3,7.54
6219.3,7.47
6225.3,7.46
6243.3,7.16
6256.3,7.32
6442.6,6.63
6459.6,6.67
6477.5,6.94
6487.5,6.87
6491.5,7.03
6495.5,7.08
6498.5,7.12
6502.5,0
6503.5,7.19
6504.5,7.17
6504.5,7.17
6506.5,7.12
6507.4,7.1
6508.5,7.07
6509.5,7.08
6510.5,7.02
6536.4,6.89
6542.4,6.77
6547.4,6.79
6567.3,6.9
6574.5,6.86
6582.3,6.71
6590.2,6.71
6595.3,6.8
6601.4,6.86
6604.4,6.84
6612.4,6.7
6627.3,6.62
6639.2,6.74
6659.2,0
6660.2,6.53
6663.2,6.59
6809.6,6.89
6831.6,6.74
6846.5,6.91
6893.4,6.76
6897.5,6.76
6897.5,6.78
7000.3,6.9
7201.6,6.72
7268.5,6.62
7289.4,6.73
7354.3,6.46
7359.2,6.56
7372.2,6.51
7386.2,6.5
7390.2,6.6
7542.5,6.96
7544.6,6.9
7619.5,6.74
7689.3,6.65
8048.4,6.68
8384.4,6.38
8453.3,6.31
8665.6,6.58
8765.3,7.1
9876.2,6.78
